>>head<<dt(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-2 	 %lux/m^-2
4.50000e-05	3.27671e-03 	 225.35 	 6.877325E+02 	 7.281578E+02	5.007778E+07	100.0
1.02037e+00	2.59513e-03 	 210.33 	 8.104796E+02 	 5.766956E+02	4.674E+07	93.335
2.04078e+00	2.55062e-03 	 203.32 	 7.971395E+02 	 5.668044E+02	4.518222E+07	90.224
3.06127e+00	2.57300e-03 	 205.32 	 7.97979E+02 	 5.717778E+02	4.562667E+07	91.112
4.08178e+00	2.61663e-03 	 208.32 	 7.961385E+02 	 5.814733E+02	4.629333E+07	92.443
5.10224e+00	2.66852e-03 	 212.33 	 7.956845E+02 	 5.930044E+02	4.718444E+07	94.222
6.12273e+00	2.72309e-03 	 217.34 	 7.981374E+02 	 6.051311E+02	4.829778E+07	96.446
7.14321e+00	2.77798e-03 	 222.34 	 8.003657E+02 	 6.173289E+02	4.940889E+07	98.664
8.16369e+00	2.83174e-03 	 227.35 	 8.028633E+02 	 6.292756E+02	5.052222E+07	100.888
9.18414e+00	2.88401e-03 	 231.36 	 8.022164E+02 	 6.408911E+02	5.141333E+07	102.667
1.02046e+01	2.93441e-03 	 238.37 	 8.123268E+02 	 6.520911E+02	5.297111E+07	105.778
1.12251e+01	2.98260e-03 	 243.37 	 8.159659E+02 	 6.628E+02	5.408222E+07	107.996
1.22456e+01	3.02885e-03 	 247.38 	 8.167456E+02 	 6.730778E+02	5.497333E+07	109.776
1.32660e+01	3.07314e-03 	 251.39 	 8.180233E+02 	 6.8292E+02	5.586444E+07	111.555
1.42865e+01	3.11537e-03 	 255.39 	 8.197742E+02 	 6.923044E+02	5.675333E+07	113.33
1.53070e+01	3.15578e-03 	 259.4 	 8.219838E+02 	 7.012844E+02	5.764444E+07	115.11
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/SY_oled_ltp_000.txt
