dt(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-2 %lux/m^-2
4.40000e-05 5.40306e-03 548.83 1.015776E+03 1.20068E+03 1.219622E+08 100.0
1.02040e+00 4.51795e-03 506.77 1.121681E+03 1.003989E+03 1.126156E+08 92.336
2.04080e+00 4.31145e-03 469.71 1.089448E+03 9.581E+02 1.0438E+08 85.584
3.06121e+00 4.23436e-03 447.68 1.057255E+03 9.409689E+02 9.948444E+07 81.57
4.08172e+00 4.20305e-03 441.67 1.050832E+03 9.340111E+02 9.814889E+07 80.475
5.10221e+00 4.19186e-03 437.66 1.044071E+03 9.315244E+02 9.725778E+07 79.744
6.12269e+00 4.19071e-03 434.66 1.037199E+03 9.312689E+02 9.659111E+07 79.198
7.14317e+00 4.19514e-03 432.65 1.031312E+03 9.322533E+02 9.614444E+07 78.831
8.16364e+00 4.20278e-03 431.65 1.027058E+03 9.339511E+02 9.592222E+07 78.649
9.18411e+00 4.21212e-03 430.65 1.022407E+03 9.360267E+02 9.57E+07 78.467
1.02046e+01 4.22228e-03 430.65 1.019947E+03 9.382844E+02 9.57E+07 78.467
1.12250e+01 4.23308e-03 429.65 1.014982E+03 9.406844E+02 9.547778E+07 78.285
1.22455e+01 4.24422e-03 430.65 1.014674E+03 9.4316E+02 9.57E+07 78.467
1.32660e+01 4.25526e-03 430.65 1.012042E+03 9.456133E+02 9.57E+07 78.467
1.42865e+01 4.26609e-03 430.65 1.009472E+03 9.4802E+02 9.57E+07 78.467
1.53070e+01 4.27701e-03 430.65 1.006895E+03 9.504467E+02 9.57E+07 78.467
1.63677e+01 4.28794e-03 430.65 1.004328E+03 9.528756E+02 9.57E+07 78.467
1.73882e+01 4.29819e-03 431.65 1.00426E+03 9.551533E+02 9.592222E+07 78.649
1.84087e+01 4.30822e-03 431.65 1.001922E+03 9.573822E+02 9.592222E+07 78.649
1.94292e+01 4.31787e-03 432.65 1.001999E+03 9.595267E+02 9.614444E+07 78.831
2.04497e+01 4.32713e-03 432.65 9.998544E+02 9.615844E+02 9.614444E+07 78.831
2.14702e+01 4.33609e-03 432.65 9.977883E+02 9.635756E+02 9.614444E+07 78.831
2.24907e+01 4.34482e-03 433.65 9.980851E+02 9.655156E+02 9.636667E+07 79.014
2.35111e+01 4.35322e-03 433.65 9.961592E+02 9.673822E+02 9.636667E+07 79.014
2.45316e+01 4.36131e-03 434.65 9.966042E+02 9.6918E+02 9.658889E+07 79.196
2.55521e+01 4.36908e-03 434.65 9.948319E+02 9.709067E+02 9.658889E+07 79.196
2.65725e+01 4.37659e-03 435.66 9.954325E+02 9.725756E+02 9.681333E+07 79.38
2.75930e+01 4.38387e-03 435.66 9.937795E+02 9.741933E+02 9.681333E+07 79.38
2.86135e+01 4.39083e-03 436.66 9.944817E+02 9.7574E+02 9.703556E+07 79.562
2.96340e+01 4.39772e-03 436.66 9.929236E+02 9.772711E+02 9.703556E+07 79.562
