>>head<<dt(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-2 	 %lux/m^-2
4.30000e-05	1.97629e-03 	 41.4 	 2.094834E+02 	 4.391756E+02	9.2E+06	100.0
1.02040e+00	1.92241e-03 	 40.4 	 2.101529E+02 	 4.272022E+02	8.977778E+06	97.585
2.04083e+00	1.92840e-03 	 39.3 	 2.037959E+02 	 4.285333E+02	8.733333E+06	94.928
3.06122e+00	1.89076e-03 	 38.3 	 2.02564E+02 	 4.201689E+02	8.511111E+06	92.512
4.08173e+00	1.87828e-03 	 38.3 	 2.0391E+02 	 4.173956E+02	8.511111E+06	92.512
5.10220e+00	1.86902e-03 	 37.3 	 1.995698E+02 	 4.153378E+02	8.288889E+06	90.097
6.12268e+00	1.85767e-03 	 37.3 	 2.007892E+02 	 4.128156E+02	8.288889E+06	90.097
7.14317e+00	1.84952e-03 	 36.3 	 1.962671E+02 	 4.110044E+02	8.066667E+06	87.681
8.16362e+00	1.84188e-03 	 36.3 	 1.970812E+02 	 4.093067E+02	8.066667E+06	87.681
9.18409e+00	1.83445e-03 	 36.3 	 1.978795E+02 	 4.076556E+02	8.066667E+06	87.681
1.02046e+01	1.82626e-03 	 35.3 	 1.932912E+02 	 4.058356E+02	7.844444E+06	85.266
1.12251e+01	1.82041e-03 	 35.3 	 1.939124E+02 	 4.045356E+02	7.844444E+06	85.266
1.22455e+01	1.81377e-03 	 35.3 	 1.946223E+02 	 4.0306E+02	7.844444E+06	85.266
1.32660e+01	1.80758e-03 	 35.3 	 1.952887E+02 	 4.016844E+02	7.844444E+06	85.266
1.42865e+01	1.80186e-03 	 34.3 	 1.903589E+02 	 4.004133E+02	7.622222E+06	82.85
1.53069e+01	1.79669e-03 	 34.3 	 1.909066E+02 	 3.992644E+02	7.622222E+06	82.85
1.63677e+01	1.79050e-03 	 34.3 	 1.915666E+02 	 3.978889E+02	7.622222E+06	82.85
1.73882e+01	1.78519e-03 	 34.3 	 1.921364E+02 	 3.967089E+02	7.622222E+06	82.85
1.84087e+01	1.78052e-03 	 33.3 	 1.87024E+02 	 3.956711E+02	7.4E+06	80.435
1.94292e+01	1.77568e-03 	 33.3 	 1.875338E+02 	 3.945956E+02	7.4E+06	80.435
2.04496e+01	1.77172e-03 	 33.3 	 1.879529E+02 	 3.937156E+02	7.4E+06	80.435
2.14701e+01	1.76637e-03 	 33.3 	 1.885222E+02 	 3.925267E+02	7.4E+06	80.435
2.24906e+01	1.76082e-03 	 33.3 	 1.891164E+02 	 3.912933E+02	7.4E+06	80.435
2.35111e+01	1.75654e-03 	 32.3 	 1.838842E+02 	 3.903422E+02	7.177778E+06	78.019
2.45315e+01	1.75159e-03 	 32.3 	 1.844039E+02 	 3.892422E+02	7.177778E+06	78.019
2.55520e+01	1.74692e-03 	 32.3 	 1.848968E+02 	 3.882044E+02	7.177778E+06	78.019
2.65725e+01	1.74218e-03 	 32.3 	 1.853999E+02 	 3.871511E+02	7.177778E+06	78.019
2.75930e+01	1.73796e-03 	 32.3 	 1.858501E+02 	 3.862133E+02	7.177778E+06	78.019
2.86134e+01	1.73442e-03 	 32.3 	 1.862294E+02 	 3.854267E+02	7.177778E+06	78.019
2.96339e+01	1.72986e-03 	 31.3 	 1.809395E+02 	 3.844133E+02	6.955556E+06	75.604
3.06544e+01	1.72587e-03 	 31.3 	 1.813578E+02 	 3.835267E+02	6.955556E+06	75.604
3.17151e+01	1.72233e-03 	 31.3 	 1.817306E+02 	 3.8274E+02	6.955556E+06	75.604
3.27356e+01	1.71826e-03 	 31.3 	 1.82161E+02 	 3.818356E+02	6.955556E+06	75.604
3.37561e+01	1.71459e-03 	 31.3 	 1.825509E+02 	 3.8102E+02	6.955556E+06	75.604
3.47765e+01	1.71016e-03 	 31.3 	 1.830238E+02 	 3.800356E+02	6.955556E+06	75.604
3.57970e+01	1.70745e-03 	 30.3 	 1.774576E+02 	 3.794333E+02	6.733333E+06	73.188
3.68175e+01	1.70330e-03 	 30.3 	 1.7789E+02 	 3.785111E+02	6.733333E+06	73.188
3.78380e+01	1.70002e-03 	 30.3 	 1.782332E+02 	 3.777822E+02	6.733333E+06	73.188
3.88584e+01	1.69618e-03 	 30.3 	 1.786367E+02 	 3.769289E+02	6.733333E+06	73.188
3.98789e+01	1.69284e-03 	 30.3 	 1.789892E+02 	 3.761867E+02	6.733333E+06	73.188
4.08994e+01	1.68965e-03 	 30.3 	 1.793271E+02 	 3.754778E+02	6.733333E+06	73.188
4.19198e+01	1.68580e-03 	 30.3 	 1.797366E+02 	 3.746222E+02	6.733333E+06	73.188
4.29403e+01	1.68263e-03 	 30.3 	 1.800752E+02 	 3.739178E+02	6.733333E+06	73.188
4.39608e+01	1.67995e-03 	 29.3 	 1.7441E+02 	 3.733222E+02	6.511111E+06	70.773
4.49812e+01	1.67609e-03 	 29.3 	 1.748116E+02 	 3.724644E+02	6.511111E+06	70.773
4.60017e+01	1.67215e-03 	 29.3 	 1.752235E+02 	 3.715889E+02	6.511111E+06	70.773
4.70625e+01	1.66891e-03 	 29.3 	 1.755637E+02 	 3.708689E+02	6.511111E+06	70.773
4.80830e+01	1.66562e-03 	 29.3 	 1.759105E+02 	 3.701378E+02	6.511111E+06	70.773
4.91035e+01	1.66273e-03 	 29.3 	 1.762162E+02 	 3.694956E+02	6.511111E+06	70.773
5.01239e+01	1.65958e-03 	 29.3 	 1.765507E+02 	 3.687956E+02	6.511111E+06	70.773
