V(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-1
0.00000e+00 -2.85944e-11 0.1 -3.497188E+07 -6.354311E-06 2.222222E+04
5.00000e-01 9.52085e-08 0.1 1.050326E+04 2.115744E-02 2.222222E+04
1.00000e+00 2.55446e-07 0.01 3.914722E+02 5.676578E-02 2.222222E+03
1.50000e+00 5.54439e-07 0.1 1.803625E+03 1.232087E-01 2.222222E+04
2.00000e+00 1.05919e-06 12.1 1.142382E+05 2.353756E-01 2.688889E+06
2.50000e+00 1.89545e-06 70.4 3.714158E+05 4.212111E-01 1.564444E+07
3.00000e+00 3.25051e-06 0.01 3.07644E+01 7.223356E-01 2.222222E+03
3.50000e+00 5.59545e-06 0.1 1.787166E+02 1.243433E+00 2.222222E+04
4.00000e+00 1.68314e-05 0.1 5.941276E+01 3.740311E+00 2.222222E+04
4.50000e+00 2.42202e-05 0.1 4.128785E+01 5.382267E+00 2.222222E+04
5.00000e+00 4.83993e-05 0.1 2.066146E+01 1.07554E+01 2.222222E+04
5.50000e+00 7.06947e-05 0.1 1.414533E+01 1.570993E+01 2.222222E+04
6.00000e+00 1.23207e-04 0.1 8.116422E+00 2.737933E+01 2.222222E+04
6.50000e+00 1.96414e-04 0.1 5.091287E+00 4.364756E+01 2.222222E+04
7.00000e+00 3.14377e-04 0.1 3.180894E+00 6.986156E+01 2.222222E+04
7.50000e+00 4.66467e-04 0.1 2.143774E+00 1.036593E+02 2.222222E+04
8.00000e+00 6.97451e-04 0.1 1.433792E+00 1.549891E+02 2.222222E+04
8.50000e+00 1.18571e-03 0.01 8.433765E-02 2.634911E+02 2.222222E+03
9.00000e+00 1.55265e-03 0.1 6.440602E-01 3.450333E+02 2.222222E+04
9.50000e+00 2.25846e-03 0.1 4.427796E-01 5.0188E+02 2.222222E+04
1.00000e+01 3.12571e-03 0.1 3.199273E-01 6.946022E+02 2.222222E+04
