VGS(0) IDS(0) IGS(0) VDS(0) VGS(10) IDS(10) IGS(10) VDS(10)
0.00000e+00 -5.45971e-10 -5.80179e-09 1.00000e+00 1.00000e+01 5.44011e-03 5.44684e-03 -1.00000e+00
1.00000e+00 2.64809e-06 2.64644e-06 1.00000e+00 9.00000e+00 3.28371e-03 3.21838e-03 -1.00000e+00
2.00000e+00 6.79547e-06 6.14695e-06 1.00000e+00 8.00000e+00 1.83412e-03 1.79812e-03 -1.00000e+00
3.00000e+00 1.36786e-05 1.33075e-05 1.00000e+00 7.00000e+00 9.36641e-04 9.30423e-04 -1.00000e+00
4.00000e+00 4.64747e-05 4.67069e-05 1.00000e+00 6.00000e+00 4.58624e-04 4.57506e-04 -1.00000e+00
5.00000e+00 1.56489e-04 1.52779e-04 1.00000e+00 5.00000e+00 1.94434e-04 1.84899e-04 -1.00000e+00
6.00000e+00 3.87103e-04 3.88152e-04 1.00000e+00 4.00000e+00 4.71232e-05 4.71498e-05 -1.00000e+00
7.00000e+00 7.36460e-04 7.30797e-04 1.00000e+00 3.00000e+00 1.19566e-05 1.30150e-05 -1.00000e+00
8.00000e+00 1.44294e-03 1.45829e-03 1.00000e+00 2.00000e+00 5.44894e-06 5.51757e-06 -1.00000e+00
9.00000e+00 2.66451e-03 2.76265e-03 1.00000e+00 1.00000e+00 1.41802e-06 2.10209e-06 -1.00000e+00
1.00000e+01 4.92944e-03 5.14020e-03 1.00000e+00 0.00000e+00 -2.51326e-07 -1.58415e-07 -1.00000e+00
