VGS(0) IDS(0) IGS(0) VDS(0) VGS(50) IDS(50) IGS(50) VDS(50)
0.00000e+00 -8.21609e-11 -9.90490e-11 1.00000e+00 5.00000e+01 9.99980e-02 9.99985e-02 -1.00000e+00
1.00000e+00 2.07130e-07 2.12489e-07 1.00000e+00 4.90000e+01 9.99983e-02 9.99975e-02 -1.00000e+00
2.00000e+00 9.07410e-07 5.69125e-07 1.00000e+00 4.80000e+01 9.99976e-02 9.99983e-02 -1.00000e+00
3.00000e+00 2.77923e-06 2.50354e-06 1.00000e+00 4.70000e+01 9.99971e-02 9.99961e-02 -1.00000e+00
4.00000e+00 1.51596e-05 1.49105e-05 1.00000e+00 4.60000e+01 9.91831e-02 9.99965e-02 -1.00000e+00
5.00000e+00 5.82042e-05 5.70260e-05 1.00000e+00 4.50000e+01 9.99969e-02 9.99870e-02 -1.00000e+00
6.00000e+00 1.46534e-04 1.45731e-04 1.00000e+00 4.40000e+01 1.01281e-01 1.01178e-01 -1.00000e+00
7.00000e+00 3.25683e-04 3.09019e-04 1.00000e+00 4.30000e+01 1.01189e-01 1.01180e-01 -1.00000e+00
8.00000e+00 6.05309e-04 6.20607e-04 1.00000e+00 4.20000e+01 1.01133e-01 1.00722e-01 -1.00000e+00
9.00000e+00 1.17760e-03 1.19535e-03 1.00000e+00 4.10000e+01 1.00398e-01 1.00156e-01 -1.00000e+00
1.00000e+01 2.10689e-03 2.20243e-03 1.00000e+00 4.00000e+01 9.99991e-02 9.99983e-02 -1.00000e+00
1.10000e+01 3.74431e-03 3.91114e-03 1.00000e+00 3.90000e+01 9.99974e-02 9.99993e-02 -1.00000e+00
1.20000e+01 6.31841e-03 6.54473e-03 1.00000e+00 3.80000e+01 9.80856e-02 9.99995e-02 -1.00000e+00
1.30000e+01 1.03668e-02 1.05592e-02 1.00000e+00 3.70000e+01 9.99984e-02 9.99982e-02 -1.00000e+00
1.40000e+01 1.52901e-02 1.55373e-02 1.00000e+00 3.60000e+01 9.99997e-02 9.99984e-02 -1.00000e+00
1.50000e+01 2.38299e-02 2.28560e-02 1.00000e+00 3.50000e+01 9.99978e-02 9.99988e-02 -1.00000e+00
1.60000e+01 3.00701e-02 3.00956e-02 1.00000e+00 3.40000e+01 9.99980e-02 9.99974e-02 -1.00000e+00
1.70000e+01 3.90500e-02 3.90121e-02 1.00000e+00 3.30000e+01 9.99980e-02 9.99983e-02 -1.00000e+00
1.80000e+01 4.89097e-02 4.84631e-02 1.00000e+00 3.20000e+01 9.99973e-02 9.99975e-02 -1.00000e+00
1.90000e+01 5.88779e-02 5.78255e-02 1.00000e+00 3.10000e+01 9.99987e-02 9.99970e-02 -1.00000e+00
2.00000e+01 6.88500e-02 6.92923e-02 1.00000e+00 3.00000e+01 9.99972e-02 9.99987e-02 -1.00000e+00
2.10000e+01 7.77856e-02 7.56890e-02 1.00000e+00 2.90000e+01 9.99975e-02 9.99972e-02 -1.00000e+00
